date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:15	74274/74274	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Nov%202023%2009:26:55%20GMT	https://html.kodesolution.com/2016/nextevent-html/demo/index-mp-layout5.html	C:/Users/ycode/Desktop/n/https___html.kodesolution.com_2016_nextevent-html_demo_index-mp-layout5.html/html.kodesolution.com/2016/nextevent-html/demo/index-mp-layout5.html	(from )
17:17:15	718/718	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2001%20Aug%202024%2015:17:14%20GMT	https://html.kodesolution.com/robots.txt		(from )
17:17:16	677/677	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Nov%202023%2009:26:55%20GMT	https://html.kodesolution.com/2016/nextevent-html/demo/images/favicon.png	C:/Users/ycode/Desktop/n/https___html.kodesolution.com_2016_nextevent-html_demo_index-mp-layout5.html/html.kodesolution.com/2016/nextevent-html/demo/images/favicon.png	(from https://html.kodesolution.com/2016/nextevent-html/demo/index-mp-layout5.html)
17:17:16	680/680	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Nov%202023%2009:26:55%20GMT	https://html.kodesolution.com/2016/nextevent-html/demo/images/apple-touch-icon.png	C:/Users/ycode/Desktop/n/https___html.kodesolution.com_2016_nextevent-html_demo_index-mp-layout5.html/html.kodesolution.com/2016/nextevent-html/demo/images/apple-touch-icon.png	(from https://html.kodesolution.com/2016/nextevent-html/demo/index-mp-layout5.html)
17:17:16	1161/1161	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Nov%202023%2009:26:55%20GMT	https://html.kodesolution.com/2016/nextevent-html/demo/images/apple-touch-icon-72x72.png	C:/Users/ycode/Desktop/n/https___html.kodesolution.com_2016_nextevent-html_demo_index-mp-layout5.html/html.kodesolution.com/2016/nextevent-html/demo/images/apple-touch-icon-72x72.png	(from https://html.kodesolution.com/2016/nextevent-html/demo/index-mp-layout5.html)
17:17:16	1925/1925	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Nov%202023%2009:26:55%20GMT	https://html.kodesolution.com/2016/nextevent-html/demo/images/apple-touch-icon-114x114.png	C:/Users/ycode/Desktop/n/https___html.kodesolution.com_2016_nextevent-html_demo_index-mp-layout5.html/html.kodesolution.com/2016/nextevent-html/demo/images/apple-touch-icon-114x114.png	(from https://html.kodesolution.com/2016/nextevent-html/demo/index-mp-layout5.html)
17:17:17	1836/1836	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Nov%202023%2009:26:55%20GMT	https://html.kodesolution.com/2016/nextevent-html/demo/images/apple-touch-icon-144x144.png	C:/Users/ycode/Desktop/n/https___html.kodesolution.com_2016_nextevent-html_demo_index-mp-layout5.html/html.kodesolution.com/2016/nextevent-html/demo/images/apple-touch-icon-144x144.png	(from https://html.kodesolution.com/2016/nextevent-html/demo/index-mp-layout5.html)
17:17:17	121260/121260	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2009:26:55%20GMT	https://html.kodesolution.com/2016/nextevent-html/demo/css/bootstrap.min.css	C:/Users/ycode/Desktop/n/https___html.kodesolution.com_2016_nextevent-html_demo_index-mp-layout5.html/html.kodesolution.com/2016/nextevent-html/demo/css/bootstrap.min.css	(from https://html.kodesolution.com/2016/nextevent-html/demo/index-mp-layout5.html)
17:17:17	29273/29273	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2009:26:55%20GMT	https://html.kodesolution.com/2016/nextevent-html/demo/css/jquery-ui.min.css	C:/Users/ycode/Desktop/n/https___html.kodesolution.com_2016_nextevent-html_demo_index-mp-layout5.html/html.kodesolution.com/2016/nextevent-html/demo/css/jquery-ui.min.css	(from https://html.kodesolution.com/2016/nextevent-html/demo/index-mp-layout5.html)
17:17:17	65290/65290	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2009:26:55%20GMT	https://html.kodesolution.com/2016/nextevent-html/demo/css/animate.css	C:/Users/ycode/Desktop/n/https___html.kodesolution.com_2016_nextevent-html_demo_index-mp-layout5.html/html.kodesolution.com/2016/nextevent-html/demo/css/animate.css	(from https://html.kodesolution.com/2016/nextevent-html/demo/index-mp-layout5.html)
